stop_id,orca_count,route_ids,tract_num,tract_population
59033,56,{186},31400,6134
99474,25,{186},31400,6134
59032,139,{186},31400,6134
59020,50,{186},31400,6134
58990,1,{186},31400,6134
58980,295,{186},31400,6134
58570,39,{186},31400,6134
58560,115,{186},31400,6134
58550,41,{186},31400,6134
58962,1,{186},31301,2565
58964,25,{186},31301,2565
58912,36,{186},31301,2565
58888,37,{186},31200,26696
58880,11,{186},31200,26696
58870,7,{186},31200,26696
58860,6,{186},31200,26696
58862,4,{186},31200,26696
57600,179,{180},30801,6989
57861,987,{180},30801,6989
57623,4,{180},30801,6989
58730,8,{186},31200,26696
57609,324,{180},30801,6989
57610,127,{180},30801,6989
57622,8,{180},30801,6989
57621,8,{180},30801,6989
57620,4,{180},30801,6989
57611,18,{180},30801,6989
57612,179,{180},30801,6989
80966,260,{180},30802,3481
57618,36,{180},30801,6989
58740,31,{186},31200,26696
61463,183,{182},30304,4216
80932,58,{180},30801,6989
80968,1357,{180},30802,3481
61462,93,{182},30304,4216
42351,105,{182},30304,4216
42585,394,{182},30304,4216
61446,2,{182},30310,6590
61444,7,{182},30310,6590
61448,451,{182},30310,6590
57650,4,{180},30801,6989
58481,60,{180},30802,3481
57640,101,{180},30801,6989
61464,55,{182},30304,4216
58500,610,{180},30801,6989
58750,42,{186},31100,7284
61460,148,{187},30312,5104
61450,542,{187},30312,5104
57632,97,{180},30801,6989
58511,900,{180},30802,3481
58752,109,{186},31100,7284
58790,7,{186},31100,7284
58760,133,{186},31100,7284
58754,158,{186},31100,7284
58780,399,{186},31100,7284
58539,12,{186},31100,7284
61368,654,{178},30304,4216
58512,886,{180},30801,6989
61443,31,{182},30310,6590
61465,310,{182},30304,4216
57631,35,{180},30801,6989
60589,103,{178},30304,4216
60587,11,{178},30304,4216
61466,39,{182},30304,4216
61442,8,{182},30313,4416
61441,7,{182},30313,4416
58536,45,{186},31100,7284
61467,46,{182},30313,4416
58410,81,{180},30802,3481
58514,29,{182},30313,4416
58391,139,{182},30313,4416
57740,71,{180},30802,3481
58400,4,{180},30802,3481
80918,40,{180},30700,4077
58392,19,{180},30700,4077
61437,214,{187},30306,5516
58393,12,{180},30802,3481
58394,98,{180},30802,3481
80982,904,{180},30700,4077
80980,232,{180},30700,4077
80978,260,{180},30700,4077
80977,1043,{180},30700,4077
42358,957,"{197, 179, 181}",30310,6590
42577,2122,{179},30310,6590
58380,76,{186},30700,4077
60573,16,{182},30313,4416
42576,1348,"{197, 181}",30310,6590
60576,1,{182},30313,4416
57806,934,{181},30801,6989
57804,282,{181},30801,6989
57810,124,{181},30801,6989
58342,777,{181},30801,6989
58344,454,{181},30801,6989
58340,96,{181},30801,6989
61470,59,{187},30306,5516
58370,8,{186},30700,4077
61435,298,{187},30306,5516
60575,57,{182},30313,4416
57760,23,{186},30700,4077
42370,927,"{197, 179, 181}",30310,6590
60578,3,{182},30313,4416
57765,4,{186},30700,4077
60580,32,{182},30313,4416
